"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест проверяет видимость и текст элементов сайдбара.

Для каждого элемента:
1.Дождаться загрузки сайдбара
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","31","Проверка видимости и текста: Кнопка Add funds","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestSidebarVisible","test_sidebar","",""
"
Тест проверяет, что при вводе неверных данных авторизация не проходит и появляется сообщение об ошибке.

Для каждого варианта невалидных данных:
1.Открыть страницу логина
2.Заполнить форму невалидными данными
3.Нажать кнопку логина
4.Проверить появление сообщения об ошибке
","5502","Проверка авторизации с неверными данными: Неверный пароль","tests.auth","2026-07-09","passed","2026-07-09","TestAuthorization","test_authorization","",""
"
Тест проверяет сохранение состояния авторизации при повторном открытии дашборда.

1.Открыть дашборд, используя сохранённое состояние из фикстуры
2.Дождаться загрузки страницы
3.Закрыть модальное окно
4.Проверить, что URL заканчивается на /dashboard
","391","Проверка сохранения состояния после авторизации","tests.auth","2026-07-09","passed","2026-07-09","TestAuthorization","test_authorization","",""
"
Тест проверяет успешную авторизацию

1.Открыть страницу логина
2.Заполнить форму валидными данными
3.Нажать кнопку логина
4.Дождаться перехода на дашборд
5.Проверить, что URL заканчивается на /dashboard
","7678","test_authorization","tests.auth","2026-07-09","passed","2026-07-09","TestAuthorization","test_authorization","",""
"
Тест проверяет видимость и текст элементов на странице Secondary Market.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","80","Проверка видимости и текста: page_title","tests.test_elements_visible.test_investment","2026-07-09","passed","2026-07-09","TestSecondaryPageVisible","test_secondary","",""
"
Тест проверяет видимость элементов дашборда (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","47","Проверка видимости: banner_bg_image","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestDashboardPageVisible","test_dashboard","",""
"
Тест проверяет видимость и текст элементов сайдбара.

Для каждого элемента:
1.Дождаться загрузки сайдбара
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","31","Проверка видимости и текста: investment","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestSidebarVisible","test_sidebar","",""
"
Тест проверяет видимость и текст элементов дашборда.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","69","Проверка видимости и текста: overview_statistics_across_projects","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestDashboardPageVisible","test_dashboard","",""
"","49","Проверка видимости и текста: radio_private","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestRegistrationPageVisible","test_registration_page","",""
"
Тест проверяет видимость элементов дашборда (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","47","Проверка видимости: ideas_header","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestDashboardPageVisible","test_dashboard","",""
"
Тест проверяет, что при вводе неверных данных авторизация не проходит и появляется сообщение об ошибке.

Для каждого варианта невалидных данных:
1.Открыть страницу логина
2.Заполнить форму невалидными данными
3.Нажать кнопку логина
4.Проверить появление сообщения об ошибке
","4405","Проверка авторизации с неверными данными: Без Email","tests.auth","2026-07-09","passed","2026-07-09","TestAuthorization","test_authorization","",""
"
Тест проверяет видимость и текст элементов на странице логина.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","853","Проверка видимости и текста: page_title","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestLoginPageVisible","test_login_page","",""
"
Тест проверяет видимость элементов дашборда (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","54","Проверка видимости: banner_content","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestDashboardPageVisible","test_dashboard","",""
"","31","Проверка видимости: registration_checkboxes","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestRegistrationPageVisible","test_registration_page","",""
"
Тест проверяет видимость и текст элементов футера.

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","170","Проверка видимости и текста: agreements_polyreg","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestFooterVisible","test_footer","",""
"
Тест проверяет видимость и текст элементов на странице Investment.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","47","Проверка видимости и текста: banner_conditions","tests.test_elements_visible.test_investment","2026-07-09","passed","2026-07-09","TestPrimaryPageVisible","test_primary","",""
"
Тест проверяет видимость элементов на странице Secondary Market (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","31","Проверка видимости: filter_discounted","tests.test_elements_visible.test_investment","2026-07-09","passed","2026-07-09","TestSecondaryPageVisible","test_secondary","",""
"
Тест проверяет видимость и текст элементов на странице логина.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","30","Проверка видимости и текста: button_login","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestLoginPageVisible","test_login_page","",""
"
Тест проверяет видимость элементов на странице Investment (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","40","Проверка видимости: tab_all","tests.test_elements_visible.test_investment","2026-07-09","passed","2026-07-09","TestPrimaryPageVisible","test_primary","",""
"
Тест проверяет, что при вводе неверных данных авторизация не проходит и появляется сообщение об ошибке.

Для каждого варианта невалидных данных:
1.Открыть страницу логина
2.Заполнить форму невалидными данными
3.Нажать кнопку логина
4.Проверить появление сообщения об ошибке
","3971","Проверка авторизации с неверными данными: Без Password","tests.auth","2026-07-09","passed","2026-07-09","TestAuthorization","test_authorization","",""
"
Тест проверяет видимость элементов хедера (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки хедера
2.Проверить видимость элемента
","31","Проверка видимости: notification_bell","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestHeaderVisible","test_header","",""
"","40","Проверка видимости: input_password","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestRegistrationPageVisible","test_registration_page","",""
"
Тест проверяет видимость элементов футера (контейнеры и иконки соцсетей).

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
","47","Проверка видимости: follow_us_facebook","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestFooterVisible","test_footer","",""
"
Тест проверяет полный цикл регистрации нового пользователя до этапа верификации Sumsub.

1.Заполнить форму регистрации валидными данными
2.Отметить чекбокс соглашения
3.Нажать кнопку Continue
4.На странице проверки email ввести код 111111
5.Проверить переход на страницу identity
6.Проверить наличие iframe Sumsub
","0","test_successful_registration","tests.auth","2026-07-09","skipped","2026-07-09","TestRegistration","test_registration","",""
"
Тест проверяет навигацию по элементам сайдбара.

Для каждого элемента:
1.Кликнуть по элементу
2.Дождаться перехода по URL
3.Проверить, что URL заканчивается на ожидаемый путь
","81","Проверка навигации: refer","tests.test_lk.test_sidebar","2026-07-09","passed","2026-07-09","","test_sidebar_navigation","",""
"
Тест проверяет видимость элементов на странице Secondary Market (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","48","Проверка видимости: banner_desc","tests.test_elements_visible.test_investment","2026-07-09","passed","2026-07-09","TestSecondaryPageVisible","test_secondary","",""
"","31","Проверка видимости: section_pep","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestRegistrationPageVisible","test_registration_page","",""
"
Тест проверяет видимость элементов дашборда (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","58","Проверка видимости: ideas_action","tests.test_elements_visible","2026-07-09","passed","2026-07-09","TestDashboardPageVisible","test_dashboard","",""
