"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест проверяет переход на страницу Rewards при клике на Start the guide → .

1. Кликнуть на кнопку Start the guide →
2. Проверить переход на /en/rewards
","0","Проверка перехода по кнопке Start the guide → ","tests.lk_tests.investment_tests.secondary_tests","2026-08-17","skipped","2026-08-17","TestSecondaryMarket","test_secondary_market","",""
"","45","Проверка видимости и текста: change_password_btn","tests.lk_tests.personal_settings_tests","2026-08-17","passed","2026-08-17","TestPersonalSettingsPageVisible","test_elem_personal_settings","",""
"","32","Проверка видимости и текста: password_label","tests.lk_tests.personal_settings_tests","2026-08-17","passed","2026-08-17","TestPersonalSettingsPageVisible","test_elem_personal_settings","",""
"
Тест проверяет фильтр Hide Invested на Secondary Market.

1. Нажать кнопку Hide Invested
2. Проверить, что на всех карточках кнопка Buy
3. Сравнить количество карточек с заголовком
","6896","Проверка фильтра Hide Invested","tests.lk_tests.investment_tests.secondary_tests","2026-08-17","passed","2026-08-17","TestSecondaryMarketFilter1","test_secondary_market_filter1","",""
"","58","Проверка видимости и текста: step2_chip","tests.lk_tests.refer_tests","2026-08-17","passed","2026-08-17","TestReferralsPageVisible","test_elem_refer","",""
"","59","Проверка видимости и текста: th_invited","tests.lk_tests.refer_tests","2026-08-17","passed","2026-08-17","TestReferralsPageVisible","test_elem_refer","",""
"","60","Проверка видимости и текста: step3_chip","tests.lk_tests.refer_tests","2026-08-17","passed","2026-08-17","TestReferralsPageVisible","test_elem_refer","",""
"
Тест проверяет видимость и количество элементов страницы Deposit.

Для каждого элемента:
1. Дождаться загрузки страницы
2. Проверить видимость элемента
3. Проверить, что количество элементов соответствует ожидаемому
","46","Проверка видимости и количества: list_elem_titles (ожидается 6)","tests.lk_tests.deposit_withdraw_tests.deposit_tests","2026-08-17","passed","2026-08-17","TestDepositPageVisible","test_elem_deposit","",""
"","86","Проверка видимости и текста: banner_badge","tests.lk_tests.portfolio_tests","2026-08-17","passed","2026-08-17","TestPortfolioCompletedPageVisible","test_elem_portfolio_completed","",""
"","28","Проверка видимости и текста: tab_repaid","tests.lk_tests.investment_tests.primary_tests","2026-08-17","passed","2026-08-17","TestPrimaryPageVisible","test_elem_primary","",""
