"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет видимость элементов Investment","9","Проверка видимости: filter_sectors","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"Тест проверяет видимость элементов Investment","11","Проверка видимости: filter_term","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","22","Проверка видимости и текста элементов футера (с текстовым содержимым): community_title","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого варианта:
1. Открыть страницу логина
2. Заполнить форму невалидными данными
3. Нажать кнопку логина
4. Проверить появление алерта об ошибке
","3226","Проверка авторизации с неверными данными: Email без @","tests.test_authorization","2026-07-01","passed","2026-07-01","","test_authorization","",""
"
Для каждого элемента:
1. Кликнуть по элементу
2. Дождаться перехода по URL
3. Проверить, что URL заканчивается на ожидаемый путь
","130","Проверка навигации по элементам сайдбара: portfolio","tests.test_lk.test_sidebar","2026-07-01","passed","2026-07-01","","test_sidebar_navigation","",""
"
Для каждой локали:
1. Открыть дропдаун
2. Проверить наличие локали в списке
3. Скроллить до локали
4. Проверить видимость локали
5. Кликнуть по локали
6. Проверить, что URL содержит код языка
","431","Проверка переключения языка через дропдаун в хедере","tests.test_lk.test_header","2026-07-01","passed","2026-07-01","","test_locale","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
","12","Проверка видимости и текста элементов футера (с текстовым содержимым): balance_value","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","16","Проверка видимости и текста элементов футера (с текстовым содержимым): transactions","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"Тест проверяет видимость и текст элементов Investment","17","Проверка видимости и текста: pill_secondary","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Проверка фильтрации проектов по диапазону процентной ставки.
1. Применить фильтр: ставка 9–12%
2. Проверить, что все карточки содержат ставку 9–12%
3. Сравнить количество карточек с заголовком
","4220","Проверка фильтрации проектов по ставке","tests.test_lk.test_investment","2026-07-01","broken","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","18","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): community_telegram","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет видимость и текст элементов на странице Secondary Market.","17","Проверка видимости и текста: banner_cta","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_secondary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","11","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): follow_us_linkedin","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет видимость элементов Investment","13","Проверка видимости: tab_coming_soon","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого варианта:
1. Открыть страницу логина
2. Заполнить форму невалидными данными
3. Нажать кнопку логина
4. Проверить появление алерта об ошибке
","3920","Проверка авторизации с неверными данными: Неверный email","tests.test_authorization","2026-07-01","passed","2026-07-01","","test_authorization","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","19","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): follow_us_x","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет видимость элементов на странице Secondary Market.","10","Проверка видимости: banner_desc","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_secondary","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","115","Проверка видимости и текста элементов футера (с текстовым содержимым): add_funds_button","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"Тест проверяет видимость элементов на странице Secondary Market.","13","Проверка видимости: filter_hide_own","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_secondary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","17","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): community_crowdhive","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","17","Проверка видимости и текста элементов футера (с текстовым содержимым): contact_us_address","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Проверка фильтрации проектов по всем доступным секторам.

1. Загрузить все проекты, получить общее количество
2. Получить список секторов из фильтра
3. Для каждого сектора:
   - Выбрать сектор
   - Проверить, что во всех карточках указан выбранный сектор
4. Проверить, что сумма проектов по секторам равна общему количеству
","23319","Проверка фильтрации проектов по секторам","tests.test_lk.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"Тест проверяет видимость элементов Investment","7","Проверка видимости: filter_rating","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Кликнуть по элементу
2. Дождаться перехода по URL
3. Проверить, что URL заканчивается на ожидаемый путь
","2419","Проверка навигации по элементам сайдбара: investor_avatar","tests.test_lk.test_sidebar","2026-07-01","passed","2026-07-01","","test_sidebar_navigation","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","15","Проверка видимости и текста элементов футера (с текстовым содержимым): investor_balance_label","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","35","Проверка видимости и текста элементов футера (с текстовым содержимым): contacts_support_email","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","15","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): about","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет видимость и текст элементов Investment","42","Проверка видимости и текста: banner_conditions","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Кликнуть по элементу
2. Дождаться перехода по URL
3. Проверить, что URL заканчивается на ожидаемый путь
","492","Проверка навигации по элементам сайдбара: transactions","tests.test_lk.test_sidebar","2026-07-01","passed","2026-07-01","","test_sidebar_navigation","",""
