"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест проверяет видимость и текст элементов футера.

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","25","Проверка видимости и текста: follow_us_title","tests.test_elements_visible","2026-07-03","passed","2026-07-03","","test_footer","",""
"
Тест проверяет видимость элементов сайдбара (контейнеры и значения).

Для каждого элемента:
1.Дождаться загрузки сайдбара
2.Проверить видимость элемента
","23","Проверка видимости: investor_balance","tests.test_elements_visible","2026-07-03","passed","2026-07-03","","test_sidebar","",""
"
Тест проверяет навигацию по элементам сайдбара.

Для каждого элемента:
1.Кликнуть по элементу
2.Дождаться перехода по URL
3.Проверить, что URL заканчивается на ожидаемый путь
","130","Проверка навигации: investment","tests.test_lk.test_sidebar","2026-07-03","passed","2026-07-03","","test_sidebar_navigation","",""
"
Тест проверяет, что количество проектов в категории соответствует числу, указанному в табе.

1.Дождаться загрузки табов
2.Кликнуть по табу, загрузить все карточки и сравнить количество с ожидаемым
","9376","Проверка категории: tab-status-Raised","tests.test_lk.test_investment","2026-07-03","passed","2026-07-03","","test_primary","",""
"
Тест проверяет навигацию по элементам сайдбара.

Для каждого элемента:
1.Кликнуть по элементу
2.Дождаться перехода по URL
3.Проверить, что URL заканчивается на ожидаемый путь
","63","Проверка навигации: dashboard","tests.test_lk.test_sidebar","2026-07-03","passed","2026-07-03","","test_sidebar_navigation","",""
"
Тест проверяет фильтрацию карточек Secondary Market по всем доступным странам и сравнивает сумму с общим количеством.

1.Получить общее количество позиций из заголовка
2.Получить список стран из фильтра
3.Для каждой страны: выбрать страну и проверить, что все карточки содержат выбранную страну
4.Сравнить сумму карточек с общим количеством
","10170","Проверка фильтрации Secondary Market по странам","tests.test_lk.test_investment","2026-07-03","passed","2026-07-03","","test_secondary_market","",""
"
Тест проверяет видимость и текст элементов на странице Secondary Market.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","845","Проверка видимости и текста: page_title","tests.test_elements_visible.test_investment","2026-07-03","passed","2026-07-03","","test_secondary","",""
"
Тест проверяет, что количество проектов в категории соответствует числу, указанному в табе.

1.Дождаться загрузки табов
2.Кликнуть по табу, загрузить все карточки и сравнить количество с ожидаемым
","6149","Проверка категории: tab-status-Repaid","tests.test_lk.test_investment","2026-07-03","passed","2026-07-03","","test_primary","",""
"
Тест проверяет навигацию по элементам сайдбара.

Для каждого элемента:
1.Кликнуть по элементу
2.Дождаться перехода по URL
3.Проверить, что URL заканчивается на ожидаемый путь
","109","Проверка навигации: deposit_withdraw","tests.test_lk.test_sidebar","2026-07-03","passed","2026-07-03","","test_sidebar_navigation","",""
"
Тест проверяет переключение языка через дропдаун в хедере.

Для каждой локали:
1.Открыть дропдаун
2.Проверить наличие локали в списке
3.Скроллить до локали
4.Проверить видимость локали
5.Кликнуть по локали
6.Проверить, что URL содержит код языка
","455","Проверка переключения языка: 日本語","tests.test_lk.test_header","2026-07-03","passed","2026-07-03","","test_locale","",""
"
Тест проверяет видимость элементов на странице Investment (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","16","Проверка видимости: filter_rating","tests.test_elements_visible.test_investment","2026-07-03","passed","2026-07-03","","test_primary","",""
"
Тест проверяет видимость элементов на странице Investment (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","22","Проверка видимости: tab_repaid","tests.test_elements_visible.test_investment","2026-07-03","passed","2026-07-03","","test_primary","",""
"
Тест проверяет открытие, содержимое и навигацию панели уведомлений.

1.Открыть панель уведомлений
2.Проверить заголовок ""Notifications""
3.Проверить наличие хотя бы одного уведомления
4.Проверить видимость кнопки закрытия
5.Проверить видимость кнопки ""View all notifications""
6.Закрыть панель
7.Открыть панель снова
8.Кликнуть ""View all notifications""
9.Проверить переход на страницу /en/notifications
","31984","Проверка панели уведомлений в хедере","tests.test_lk.test_header","2026-07-03","broken","2026-07-03","","test_notification_window","",""
"
Тест проверяет видимость элементов на странице Investment (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","21","Проверка видимости: filter_rate","tests.test_elements_visible.test_investment","2026-07-03","passed","2026-07-03","","test_primary","",""
"
Тест проверяет видимость элементов футера (контейнеры и иконки соцсетей).

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
","22","Проверка видимости: contacts","tests.test_elements_visible","2026-07-03","passed","2026-07-03","","test_footer","",""
"
Тест проверяет видимость элементов футера (контейнеры и иконки соцсетей).

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
","19","Проверка видимости: about","tests.test_elements_visible","2026-07-03","passed","2026-07-03","","test_footer","",""
"
Тест проверяет видимость и текст элементов на странице Investment.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","28","Проверка видимости и текста: banner_conditions","tests.test_elements_visible.test_investment","2026-07-03","passed","2026-07-03","","test_primary","",""
"
Тест проверяет видимость и текст элементов футера.

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","1872","Проверка видимости и текста: footer_logo","tests.test_elements_visible","2026-07-03","passed","2026-07-03","","test_footer","",""
"
Тест проверяет переключение языка через дропдаун в хедере.

Для каждой локали:
1.Открыть дропдаун
2.Проверить наличие локали в списке
3.Скроллить до локали
4.Проверить видимость локали
5.Кликнуть по локали
6.Проверить, что URL содержит код языка
","433","Проверка переключения языка: 한국인","tests.test_lk.test_header","2026-07-03","passed","2026-07-03","","test_locale","",""
"
Тест проверяет видимость элементов на странице Investment (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","16","Проверка видимости: tab_all","tests.test_elements_visible.test_investment","2026-07-03","passed","2026-07-03","","test_primary","",""
"
Тест проверяет видимость элементов футера (контейнеры и иконки соцсетей).

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
","23","Проверка видимости: footer","tests.test_elements_visible","2026-07-03","passed","2026-07-03","","test_footer","",""
"
Тест проверяет переключение языка через дропдаун в хедере.

Для каждой локали:
1.Открыть дропдаун
2.Проверить наличие локали в списке
3.Скроллить до локали
4.Проверить видимость локали
5.Кликнуть по локали
6.Проверить, что URL содержит код языка
","389","Проверка переключения языка: Português","tests.test_lk.test_header","2026-07-03","passed","2026-07-03","","test_locale","",""
"
Тест проверяет видимость элементов на странице Secondary Market (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","21","Проверка видимости: banner_container","tests.test_elements_visible.test_investment","2026-07-03","passed","2026-07-03","","test_secondary","",""
"
Тест проверяет видимость элементов сайдбара (контейнеры и значения).

Для каждого элемента:
1.Дождаться загрузки сайдбара
2.Проверить видимость элемента
","21","Проверка видимости: balance_value","tests.test_elements_visible","2026-07-03","passed","2026-07-03","","test_sidebar","",""
