"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Авторизация","0","Авторизация","15","0","Ошибка при авторизации с неверными данными","0"
"0","Проверка наличия и текста элементов","0","Страница Primary market","21","0","Проверка наличия и текста элементов","0"
"0","Проверка наличия и текста элементов","0","Header","9","0","Проверка наличия элементов","0"
"0","Проверка наличия и текста элементов","0","Страница Dashboard","129","0","Проверка наличия и текста элементов","0"
"0","Проверка наличия и текста элементов","0","Footer","39","0","Проверка наличия элементов","0"
"0","Проверка работы элементов","0","Sidebar","30","0","","0"
"0","Авторизация","0","Авторизация","3","0","Успешная авторизация","0"
"0","Проверка наличия и текста элементов","0","Sidebar","36","0","Проверка наличия и текста элементов","0"
"0","Проверка работы элементов","0","Header","42","0","","0"
"0","Проверка наличия и текста элементов","0","Страница восстановления пароля","9","0","Проверка наличия элементов","0"
"0","Проверка наличия и текста элементов","0","Страница регистрации","57","0","Проверка наличия элементов","0"
"0","Проверка наличия и текста элементов","0","Header","12","0","Проверка наличия и текста элементов","0"
"0","Фильтры","0","Страница Secondary market","15","0","Проверка работы фильтров на странице Secondary market","0"
"0","Авторизация","0","Авторизация","3","0","Проверка переходов между страницами","0"
"0","Проверка наличия и текста элементов","0","Страница авторизации","21","0","Проверка наличия элементов","0"
"0","Восстановление пароля","0","Отправка кода","6","0","Ошибка отправки кода на почту","0"
"0","Проверка наличия и текста элементов","0","Страница Primary market","54","0","Проверка наличия элементов","0"
"0","Проверка наличия и текста элементов","0","Страница Secondary market","12","0","Проверка наличия и текста элементов","0"
"0","Проверка наличия и текста элементов","0","Страница Secondary market","21","0","Проверка наличия элементов","0"
"0","Проверка наличия и текста элементов","0","Footer","60","0","Проверка наличия и текста элементов","0"
"0","Проверка наличия и текста элементов","0","Страница регистрации","15","0","Проверка наличия и текста элементов","0"
"0","Проверка наличия и текста элементов","0","Sidebar","15","0","Проверка наличия элементов","0"
"0","Регистрация","0","Регистрация","15","0","Ошибка регистрации пользователя","0"
"0","Проверка наличия и текста элементов","0","Страница восстановления пароля","6","0","Проверка наличия и текста элементов","0"
"0","Проверка работы элементов","0","Dashboard","3","0","Взаимодействие с элементами","0"
"0","Проверка наличия и текста элементов","0","Страница Dashboard","12","0","Проверка наличия и количества элементов","0"
"0","Регистрация","0","Регистрация","3","0","Успешная регистрация пользователя","0"
"0","Проверка наличия и текста элементов","0","Страница авторизации","18","0","Проверка наличия и текста элементов","0"
"0","Восстановление пароля","0","Отправка кода","3","0","Успешная отправка кода на почту","0"
"0","Авторизация","0","Авторизация","3","0","Сохранение сессии","0"
