"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","630","3","","0"
"0","Авторизация","0","Авторизация","15","0","Авторизация с невалидными данными","0"
"0","Регистрация","0","Регистрация","15","0","Ошибка регистрации пользователя","0"
"3","Регистрация","0","Регистрация","0","0","Успешная регистрация пользователя","0"
"0","Восстановление пароля","0","Отправка кода","3","0","Успешная отправка кода на почту","0"
"0","Восстановление пароля","0","Отправка кода","6","0","Ошибка отправки кода на почту","0"
"0","Авторизация","0","Авторизация","3","0","Успешная авторизация","0"
"0","Авторизация","0","Авторизация","3","0","Сохранение сессии","0"
"0","Авторизация","0","Авторизация","3","0","Проверка переходов между страницами","0"
