"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест проверяет переключение языка через дропдаун в хедере.

Для каждой локали:
1.Открыть дропдаун
2.Проверить наличие локали в списке
3.Скроллить до локали
4.Проверить видимость локали
5.Кликнуть по локали
6.Проверить, что URL содержит код языка
","362","Проверка переключения языка: Português","tests.test_lk","2026-07-20","passed","2026-07-20","TestHeader","test_header","",""
"
Тест проверяет видимость элементов на странице Investment (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","44","Проверка видимости: catalog_title","tests.test_elements_visible.test_investment","2026-07-20","passed","2026-07-20","TestPrimaryPageVisible","test_primary","",""
"
Тест проверяет успешную авторизацию

1.Открыть страницу логина
2.Заполнить форму валидными данными
3.Нажать кнопку логина
4.Дождаться перехода на дашборд
5.Проверить, что URL заканчивается на /dashboard
","4868","Тест авторизации с валидными данными","tests.auth","2026-07-20","passed","2026-07-20","TestAuthorization","test_authorization","",""
"","44","Проверка видимости: password_strength_rule_upper","tests.test_elements_visible.auth","2026-07-20","passed","2026-07-20","TestRegistrationPageVisible","test_registration_page","",""
"
Тест проверяет видимость и текст элементов дашборда.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","63","Проверка видимости и текста: overview_statistics_available_balance","tests.test_elements_visible","2026-07-20","passed","2026-07-20","TestDashboardPageVisible","test_dashboard","",""
"
Тест проверяет количество проектов в каждой категории табов.

1. Получить ожидаемое количество из счётчика на табе
2. Кликнуть по табу
3. Загрузить все карточки и посчитать их
4. Сравнить с ожидаемым количеством
","5967","Проверка категории: tab-status-Coming soon","tests.test_lk.test_investment","2026-07-20","passed","2026-07-20","TestPrimaryFilter","test_primary","",""
"
Тест проверяет видимость элементов дашборда (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","54","Проверка видимости: idea_card_head","tests.test_elements_visible","2026-07-20","passed","2026-07-20","TestDashboardPageVisible","test_dashboard","",""
"
Тест проверяет видимость элементов дашборда (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","52","Проверка видимости: idea_card_funded","tests.test_elements_visible","2026-07-20","passed","2026-07-20","TestDashboardPageVisible","test_dashboard","",""
"
Тест проверяет открытие, содержимое и навигацию панели уведомлений.

1.Открыть панель уведомлений
2.Проверить заголовок ""Notifications""
3.Проверить наличие хотя бы одного уведомления
4.Проверить видимость кнопки закрытия
5.Проверить видимость кнопки ""View all notifications""
6.Закрыть панель
7.Открыть панель снова
8.Кликнуть ""View all notifications""
9.Проверить переход на страницу /en/notifications
","1921","Проверка панели уведомлений в хедере","tests.test_lk","2026-07-20","passed","2026-07-20","TestHeader","test_header","",""
"
Тест проверяет видимость и текст элементов футера.

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","64","Проверка видимости и текста: about_faq","tests.test_elements_visible.nav","2026-07-20","passed","2026-07-20","TestFooterVisible","test_footer","",""
"
Тест проверяет навигацию по элементам сайдбара.

Для каждого элемента:
1.Кликнуть по элементу
2.Дождаться перехода по URL
3.Проверить, что URL заканчивается на ожидаемый путь
","194","Проверка навигации: deposit_withdraw","tests.test_lk","2026-07-20","passed","2026-07-20","TestSidebarNav","test_sidebar_nav","",""
"
Тест проверяет видимость и текст элементов футера.

Для каждого элемента:
1.Дождаться загрузки футера
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","89","Проверка видимости и текста: about_title","tests.test_elements_visible.nav","2026-07-20","passed","2026-07-20","TestFooterVisible","test_footer","",""
"
Тест проверяет переключение языка через дропдаун в хедере.

Для каждой локали:
1.Открыть дропдаун
2.Проверить наличие локали в списке
3.Скроллить до локали
4.Проверить видимость локали
5.Кликнуть по локали
6.Проверить, что URL содержит код языка
","192","Проверка переключения языка: Polski","tests.test_lk","2026-07-20","passed","2026-07-20","TestHeader","test_header","",""
"
Тест проверяет количество проектов в каждой категории табов.

1. Получить ожидаемое количество из счётчика на табе
2. Кликнуть по табу
3. Загрузить все карточки и посчитать их
4. Сравнить с ожидаемым количеством
","5709","Проверка категории: tab-status-Not Raised","tests.test_lk.test_investment","2026-07-20","passed","2026-07-20","TestPrimaryFilter","test_primary","",""
"","29","Проверка видимости: password_strength_rules","tests.test_elements_visible.auth","2026-07-20","passed","2026-07-20","TestRegistrationPageVisible","test_registration_page","",""
"
Тест проверяет фильтр Hide invested на Primary Market.

1. Нажать чекбокс Hide invested
2. Дождаться обновления карточек
3. Проверить, что ни на одной карточке нет кнопки Add more
4. Сравнить количество карточек с заголовком
","53341","Проверка фильтра Hide invested","tests.test_lk.test_investment","2026-07-20","passed","2026-07-20","TestPrimaryFilter","test_primary","",""
"
Тест проверяет видимость элементов дашборда (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","45","Проверка видимости: banner_content","tests.test_elements_visible","2026-07-20","passed","2026-07-20","TestDashboardPageVisible","test_dashboard","",""
"
Тест проверяет сохранение состояния авторизации при повторном открытии дашборда.

1.Открыть дашборд, используя сохранённое состояние из фикстуры
2.Дождаться загрузки страницы
3.Закрыть модальное окно
4.Проверить, что URL заканчивается на /dashboard
","3","Проверка сохранения состояния после авторизации","tests.auth","2026-07-20","passed","2026-07-20","TestAuthorization","test_authorization","",""
"","62","Проверка видимости и текста: text_already_have_account","tests.test_elements_visible.auth","2026-07-20","passed","2026-07-20","TestRegistrationPageVisible","test_registration_page","",""
"
Тест проверяет видимость элементов сайдбара (контейнеры и значения).

Для каждого элемента:
1.Дождаться загрузки сайдбара
2.Проверить видимость элемента
","73","Проверка видимости: Блок баланса","tests.test_elements_visible.nav","2026-07-20","passed","2026-07-20","TestSidebarVisible","test_sidebar","",""
"
Тест проверяет видимость элементов на странице Investment (без текстового содержимого).

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
","30","Проверка видимости: toggle_view","tests.test_elements_visible.test_investment","2026-07-20","passed","2026-07-20","TestPrimaryPageVisible","test_primary","",""
"
Тест проверяет навигацию по элементам сайдбара.

Для каждого элемента:
1.Кликнуть по элементу
2.Дождаться перехода по URL
3.Проверить, что URL заканчивается на ожидаемый путь
","165","Проверка навигации: personal_settings","tests.test_lk","2026-07-20","passed","2026-07-20","TestSidebarNav","test_sidebar_nav","",""
"
Тест проверяет видимость и текст элементов дашборда.

Для каждого элемента:
1.Дождаться загрузки страницы
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","224","Проверка видимости и текста: banner_title","tests.test_elements_visible","2026-07-20","passed","2026-07-20","TestDashboardPageVisible","test_dashboard","",""
