"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
1.Открыть страницу логина
2)Заполнить форму валидными данными
3.Нажать кнопку логина
4.Дождаться перехода на дашборд
5.Проверить, что URL заканчивается на /dashboard
","4763","Проверка успешной авторизации","tests.test_authorization","2026-07-01","passed","2026-07-01","","test_authorization","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","25","Проверка видимости и текста элементов футера (с текстовым содержимым): about_invite","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Проверка фильтрации secondary market по всем доступным странам.

1. Получить общее количество позиций из заголовка
2. Получить список стран из фильтра
3. Для каждой страны:
   - Выбрать страну
   - Проверить, что все карточки содержат выбранную страну
4. Сравнить сумму карточек с общим количеством
","10167","Проверка фильтрации secondary market по странам","tests.test_lk.test_investment","2026-07-01","passed","2026-07-01","","test_secondary_market","",""
"Тест проверяет, что все элементы на странице Investment видны и содержат правильный текст.","18","Проверка видимости и текста: pill_secondary","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","15","Проверка видимости и текста элементов футера (с текстовым содержимым): agreements_aml","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","18","Проверка видимости и текста элементов футера (с текстовым содержимым): about_home","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет, что все элементы на странице Investment видны.","43","Проверка видимости: tab_coming_soon","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","23","Проверка видимости и текста элементов футера (с текстовым содержимым): user_name","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
","11","Проверка видимости и текста элементов футера (с текстовым содержимым): menu_list","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"Тест проверяет, что все элементы на странице Investment видны.","8","Проверка видимости: tab_open","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"Тест проверяет, что все элементы на странице Secondary Market видны и содержат правильный текст.","16","Проверка видимости и текста: banner_title","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_secondary","",""
"
Проверка фильтрации проектов по всем доступным странам.

1. Загрузить все проекты, получить общее количество
2. Получить список стран из фильтра
3. Для каждой страны:
   - Выбрать страну
   - Проверить, что во всех карточках указана выбранная страна
4. Проверить, что сумма проектов по странам равна общему количеству
","29618","Проверка фильтрации проектов по странам","tests.test_lk.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"Тест проверяет, что все элементы на странице Investment видны.","13","Проверка видимости: tab_all","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Проверка фильтрации проектов по диапазону срока.
1. Применить фильтр: срок 10–16 месяцев
2. Проверить, что все карточки содержат срок 10–16 месяцев
3. Сравнить количество карточек с заголовком
","8819","Проверка фильтрации проектов по сроку","tests.test_lk.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"Тест проверяет, что все элементы на странице Secondary Market видны и содержат правильный текст.","15","Проверка видимости и текста: banner_cta","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_secondary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","15","Проверка видимости и текста элементов футера (с текстовым содержимым): agreements_privacy","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","16","Проверка видимости и текста элементов футера (с текстовым содержимым): user_avatar_title","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"Тест проверяет, что все элементы на странице Investment видны и содержат правильный текст.","16","Проверка видимости и текста: banner_title","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
","11","Проверка видимости и текста элементов футера (с текстовым содержимым): balance_value","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"Тест проверяет, что все элементы на странице Investment видны.","20","Проверка видимости: page_container","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","14","Проверка видимости и текста элементов футера (с текстовым содержимым): rewards","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","13","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): footer","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","20","Проверка видимости и текста элементов футера (с текстовым содержимым): contacts_commercial_email","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","18","Проверка видимости и текста элементов футера (с текстовым содержимым): about_faq","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","57","Проверка видимости и текста элементов футера (с текстовым содержимым): about_blog","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","27","Проверка видимости и текста элементов футера (с текстовым содержимым): investment","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","14","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): follow_us_youtube","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет, что при вводе неверных данных авторизация не проходит.","3863","Проверка авторизации с неверными данными: Неверный пароль","tests.test_authorization","2026-07-01","passed","2026-07-01","","test_authorization","",""
"Тест проверяет, что все элементы на странице Secondary Market видны.","14","Проверка видимости: banner_desc","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_secondary","",""
"
Проверка фильтрации проектов по диапазону процентной ставки.
1. Применить фильтр: ставка 9–12%
2. Проверить, что все карточки содержат ставку 9–12%
3. Сравнить количество карточек с заголовком
","4262","Проверка фильтрации проектов по ставке","tests.test_lk.test_investment","2026-07-01","broken","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Кликнуть по элементу
2. Дождаться перехода по URL
3. Проверить, что URL заканчивается на ожидаемый путь
","515","Проверка навигации по элементам сайдбара: transactions","tests.test_lk.test_sidebar","2026-07-01","passed","2026-07-01","","test_sidebar_navigation","",""
"Тест проверяет, что все элементы на странице Investment видны.","14","Проверка видимости: filter_sectors","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","1883","Проверка видимости и текста элементов футера (с текстовым содержимым): footer_logo","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет, что все элементы на странице Investment видны.","11","Проверка видимости: tab_raised","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","18","Проверка видимости и текста элементов футера (с текстовым содержимым): agreements_polyreg","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки хедера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","49","Проверка видимости и текста элементов футера (с текстовым содержимым): user_avatar","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_header","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","13","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): follow_us","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","23","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): follow_us_x","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет, что все элементы на странице Secondary Market видны.","10","Проверка видимости: banner_container","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_secondary","",""
"Тест проверяет, что все элементы на странице Secondary Market видны и содержат правильный текст.","14","Проверка видимости и текста: banner_conditions","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_secondary","",""
"
1. Кликнуть по кнопке Log Out
2. Дождаться перехода на страницу логина
3. Проверить, что URL заканчивается на /en/login
","3446","Проверка выхода из системы","tests.test_lk.test_header","2026-07-01","passed","2026-07-01","","test_header","",""
"
Для каждого элемента:
1. Дождаться загрузки хедера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","13","Проверка видимости и текста элементов футера (с текстовым содержимым): language_switcher","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_header","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","12","Проверка видимости и текста элементов футера (с текстовым содержимым): deposit_withdraw","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"
Для каждого элемента:
1. Дождаться загрузки хедера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","18","Проверка видимости и текста элементов футера (с текстовым содержимым): logo","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_header","",""
"Тест проверяет, что все элементы на странице Investment видны.","11","Проверка видимости: filter_rate","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки хедера
2. Проверить видимость элемента
","10","Проверка видимости и текста элементов футера (с текстовым содержимым): header_actions","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_header","",""
"Тест проверяет, что все элементы на странице Investment видны.","80","Проверка видимости: banner_container","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"Тест проверяет, что все элементы на странице Investment видны.","11","Проверка видимости: filter_term","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"Тест проверяет, что все элементы на странице Investment видны.","25","Проверка видимости: tab_not_raised","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","18","Проверка видимости и текста элементов футера (с текстовым содержимым): about_about","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","14","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): community","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","26","Проверка видимости и текста элементов футера (с текстовым содержимым): investor_balance_label","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","19","Проверка видимости и текста элементов футера (с текстовым содержимым): about_crowdlending","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","10","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): agreements","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Кликнуть по элементу
2. Дождаться перехода по URL
3. Проверить, что URL заканчивается на ожидаемый путь
","101","Проверка навигации по элементам сайдбара: refer","tests.test_lk.test_sidebar","2026-07-01","passed","2026-07-01","","test_sidebar_navigation","",""
"Тест проверяет, что все элементы на странице Investment видны.","63","Проверка видимости: tab_repaid","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки хедера
2. Проверить видимость элемента
","8","Проверка видимости и текста элементов футера (с текстовым содержимым): notification_bell","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_header","",""
"
Для каждого элемента:
1. Дождаться загрузки хедера
2. Проверить видимость элемента
","10","Проверка видимости и текста элементов футера (с текстовым содержимым): gift_button","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_header","",""
"
Для каждого элемента:
1. Дождаться загрузки хедера
2. Проверить видимость элемента
","14","Проверка видимости и текста элементов футера (с текстовым содержимым): header","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_header","",""
"
Для каждого элемента:
1. Кликнуть по элементу
2. Дождаться перехода по URL
3. Проверить, что URL заканчивается на ожидаемый путь
","59","Проверка навигации по элементам сайдбара: dashboard","tests.test_lk.test_sidebar","2026-07-01","passed","2026-07-01","","test_sidebar_navigation","",""
"Тест проверяет, что все элементы на странице Investment видны и содержат правильный текст.","15","Проверка видимости и текста: banner_conditions","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"Тест проверяет, что все элементы на странице Investment видны.","17","Проверка видимости: filter_countries","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Кликнуть по элементу
2. Дождаться перехода по URL
3. Проверить, что URL заканчивается на ожидаемый путь
","115","Проверка навигации по элементам сайдбара: portfolio","tests.test_lk.test_sidebar","2026-07-01","passed","2026-07-01","","test_sidebar_navigation","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","21","Проверка видимости и текста элементов футера (с текстовым содержимым): agreements_debt","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет, что все элементы на странице Investment видны.","16","Проверка видимости: filter_rating","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","18","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): community_whatsapp","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
","12","Проверка видимости и текста элементов футера (с текстовым содержимым): sidebar_person","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"Тест проверяет, что все элементы на странице Investment видны.","12","Проверка видимости: catalog_title","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","13","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): follow_us_facebook","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждой локали:
1. Открыть дропдаун
2. Проверить наличие локали в списке
3. Скроллить до локали
4. Проверить видимость локали
5. Кликнуть по локали
6. Проверить, что URL содержит код языка
","427","Проверка переключения языка через дропдаун в хедере","tests.test_lk.test_header","2026-07-01","passed","2026-07-01","","test_locale","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","15","Проверка видимости и текста элементов футера (с текстовым содержимым): contacts_support_email","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","18","Проверка видимости и текста элементов футера (с текстовым содержимым): agreements_terms","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"
Для каждого элемента:
1. Дождаться загрузки сайдбара
2. Проверить видимость элемента
3. Проверить соответствие текста ожидаемому значению
","21","Проверка видимости и текста элементов футера (с текстовым содержимым): dashboard","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_sidebar","",""
"
Для каждого элемента:
1. Дождаться загрузки футера
2. Проверить видимость элемента
","11","Проверка видимости элементов футера (без текстового содержимого — контейнеры и иконки соцсетей): community_crowdhive","tests.test_elements_visible","2026-07-01","passed","2026-07-01","","test_footer","",""
"Тест проверяет, что все элементы на странице Investment видны.","10","Проверка видимости: subtitle","tests.test_elements_visible.test_investment","2026-07-01","passed","2026-07-01","","test_primary","",""
